id,population,serie_bac,note_maths,note_sciences,note_langues,note_eco,matieres_preferees,competences,interets,environnement,metiers_vises,filiere,satisfaction
etu-0090,etudiant,A2,5,2,3,3,Mathematiques,Organisation / gestion de projet,Finance / comptabilite,Bureau,Gestion / management,FIC,4
etu-0091,etudiant,D,3,4,5,3,SVT,Redaction / communication|Creativite / design|Vente / negociation|Travail en equipe,Sciences|BTP / construction|Sante / social,Mixte,Gestion / management|Entrepreneur / independant,FIC,3
etu-0092,etudiant,S,4,3,3,2,Mathematiques|Physique-Chimie|SVT,Analyse de donnees / logique,Sciences|Entrepreneuriat / business|Art / design / audiovisuel,Laboratoire,Technique / ingenierie|Recherche / enseignement,IAA,4
etu-0093,etudiant,A2,3,4,4,3,Physique-Chimie,Organisation / gestion de projet,Entrepreneuriat / business|Finance / comptabilite,Mixte,Gestion / management|Entrepreneur / independant,EMP,5
etu-0094,etudiant,D,3,4,5,2,Mathematiques|Physique-Chimie|SVT,Creativite / design,Sciences|Agriculture / environnement,Laboratoire,Technique / ingenierie|Recherche / enseignement,AEE,5
etu-0095,etudiant,D,3,3,4,1,Physique-Chimie|SVT|Informatique / Technologie,,Technologie / informatique|Sciences,Bureau,Technique / ingenierie,IMTICIA,4
etu-0096,etudiant,C,1,1,5,1,Mathematiques|Physique-Chimie|Francais / Litterature,Redaction / communication,Art / design / audiovisuel|BTP / construction,Mixte,Technique / ingenierie|Creation / design,GCA,2
etu-0097,etudiant,D,2,3,3,2,Mathematiques|SVT|Langues etrangeres,Redaction / communication|Organisation / gestion de projet|Travail en equipe,Entrepreneuriat / business|Finance / comptabilite,Bureau,Gestion / management|Entrepreneur / independant,EMP,5
etu-0098,etudiant,D,4,3,2,2,Mathematiques|Physique-Chimie|SVT,Programmation|Analyse de donnees / logique|Creativite / design|Travail en equipe,Technologie / informatique|Sciences|Art / design / audiovisuel,Bureau,Technique / ingenierie|Creation / design,IMTICIA,5
pro-0099,professionnel,,3,4,4,2,Physique-Chimie|Informatique / Technologie|Sport,Analyse de donnees / logique|Redaction / communication|Creativite / design|Organisation / gestion de projet|Electronique / bricolage technique|Travail en equipe,Technologie / informatique|Sciences|Art / design / audiovisuel|Communication / medias,Bureau,Recherche / enseignement|Entrepreneur / independant,ESIIA,4
